batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
32,110.16,1045853.77,97.92,0.026007,0.27,26.01,8,V100,4,32,80,YES,SUCCESS
32,235.01,1045853.77,97.92,0.026007,0.27,26.01,8,V100,4,32,80,YES,SUCCESS
32,470.02,1045853.77,97.92,0.026007,0.27,26.01,8,V100,4,32,80,YES,SUCCESS
32,73.44,378592.42,73.44,0.053884,0.73,53.88,3,V100,8,24,80,NO,SUCCESS
32,88.13,378592.42,73.44,0.053884,0.73,53.88,3,V100,8,24,80,NO,SUCCESS
64,117.50,576531.68,97.92,0.047179,0.48,47.18,4,V100,8,32,80,YES,SUCCESS
64,146.88,576531.68,97.92,0.047179,0.48,47.18,4,V100,8,32,80,YES,SUCCESS
64,97.92,576531.68,97.92,0.047179,0.48,47.18,4,V100,8,32,80,NO,SUCCESS
64,235.01,1124951.79,195.84,0.048358,0.25,48.36,8,V100,8,64,80,NO,SUCCESS
64,470.02,1124951.79,195.84,0.048358,0.25,48.36,8,V100,8,64,80,NO,SUCCESS
128,195.84,1138024.97,195.84,0.047802,0.24,47.80,8,V100,8,64,80,YES,SUCCESS
128,235.01,1138024.97,195.84,0.047802,0.24,47.80,8,V100,8,64,80,YES,SUCCESS
128,235.01,1138024.97,195.84,0.047802,0.24,47.80,8,V100,8,64,80,YES,SUCCESS
128,293.76,1138024.97,195.84,0.047802,0.24,47.80,8,V100,8,64,80,YES,SUCCESS
128,470.02,1138024.97,195.84,0.047802,0.24,47.80,8,V100,8,64,80,YES,SUCCESS
