model_name,max_input_length,max_output_length,batch_size,budget_tested,total_tokens_per_sec,input_tokens_per_sec,output_tokens_per_sec,cost_per_hour,dollar_per_million_token,total_runtime_hours,total_cost,pipeline_stages,device_type,pp,mem_per_gpu_gb,placement,layer_mapping,tp_per_stage,num_gpus,total_layers,is_best,status
llama3-70b,8192,2048,32,27.39,1417.11,1133.69,283.42,27.39,5.368892,0.20,5.37,2,g6e.48xlarge#0,2,"{PP_1:48.0, PP_2:48.0}","{PP_1:{g6e.48xlarge#0:4}, PP_2:{g6e.48xlarge#0:4}}","{PP_1:1-40, PP_2:41-80}","{PP_1:4, PP_2:4}",8,80,YES,SUCCESS
llama3-70b,8192,2048,32,27.40,1417.11,1133.69,283.42,27.40,5.370852,0.20,5.37,2,"g6e.24xlarge#0,g6e.24xlarge#1",2,"{PP_1:48.0, PP_2:48.0}","{PP_1:{g6e.24xlarge#0:4}, PP_2:{g6e.24xlarge#1:4}}","{PP_1:1-40, PP_2:41-80}","{PP_1:4, PP_2:4}",8,80,NO,SUCCESS
llama3-70b,8192,2048,32,40.96,2022.44,1617.95,404.49,40.96,5.625776,0.14,5.63,1,p4de.24xlarge#0,1,{PP_1:80.0},{PP_1:{p4de.24xlarge#0:8}},{PP_1:1-80},{PP_1:8},8,80,NO,SUCCESS
llama3-70b,8192,2048,32,27.39,1314.28,1051.42,262.86,27.39,5.788970,0.21,5.79,1,g6e.48xlarge#0,1,{PP_1:48.0},{PP_1:{g6e.48xlarge#0:8}},{PP_1:1-80},{PP_1:8},8,80,NO,SUCCESS
llama3-70b,8192,2048,32,27.39,1252.53,1002.02,250.51,27.39,6.074366,0.22,6.07,4,g6e.48xlarge#0,4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.48xlarge#0:2}, PP_2:{g6e.48xlarge#0:2}, PP_3:{g6e.48xlarge#0:2}, PP_4:{g6e.48xlarge#0:2}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2}",8,80,NO,SUCCESS
llama3-70b,8192,2048,32,27.40,1252.53,1002.02,250.51,27.40,6.076584,0.22,6.08,4,"g6e.24xlarge#0,g6e.24xlarge#1",4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.24xlarge#0:2}, PP_2:{g6e.24xlarge#0:2}, PP_3:{g6e.24xlarge#1:2}, PP_4:{g6e.24xlarge#1:2}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2}",8,80,NO,SUCCESS
llama3-70b,8192,2048,32,27.40,1252.53,1002.02,250.51,27.40,6.076584,0.22,6.08,4,"g6e.12xlarge#0,g6e.12xlarge#1,g6e.12xlarge#2,g6e.12xlarge#3",4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.12xlarge#0:2}, PP_2:{g6e.12xlarge#1:2}, PP_3:{g6e.12xlarge#2:2}, PP_4:{g6e.12xlarge#3:2}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2}",8,80,NO,SUCCESS
llama3-70b,8192,2048,32,40.96,1743.81,1395.05,348.76,40.96,6.524673,0.16,6.52,2,p4de.24xlarge#0,2,"{PP_1:80.0, PP_2:80.0}","{PP_1:{p4de.24xlarge#0:4}, PP_2:{p4de.24xlarge#0:4}}","{PP_1:1-40, PP_2:41-80}","{PP_1:4, PP_2:4}",8,80,NO,SUCCESS
llama3-70b,8192,2048,32,54.78,2102.85,1682.28,420.57,54.78,7.236212,0.13,7.24,2,"g6e.48xlarge#0,g6e.48xlarge#1",2,"{PP_1:48.0, PP_2:48.0}","{PP_1:{g6e.48xlarge#0:8}, PP_2:{g6e.48xlarge#1:8}}","{PP_1:1-40, PP_2:41-80}","{PP_1:8, PP_2:8}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,54.78,2024.45,1619.56,404.89,54.78,7.516448,0.14,7.52,4,"g6e.48xlarge#0,g6e.48xlarge#1",4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.48xlarge#0:4}, PP_2:{g6e.48xlarge#0:4}, PP_3:{g6e.48xlarge#1:4}, PP_4:{g6e.48xlarge#1:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,54.80,2024.45,1619.56,404.89,54.80,7.519192,0.14,7.52,4,"g6e.24xlarge#0,g6e.24xlarge#1,g6e.24xlarge#2,g6e.24xlarge#3",4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.24xlarge#0:4}, PP_2:{g6e.24xlarge#1:4}, PP_3:{g6e.24xlarge#2:4}, PP_4:{g6e.24xlarge#3:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,41.10,1369.96,1095.96,273.99,41.10,8.333601,0.20,8.33,5,"g6e.24xlarge#0,g6e.24xlarge#1,g6e.24xlarge#2",5,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}","{PP_1:{g6e.24xlarge#0:2}, PP_2:{g6e.24xlarge#0:2}, PP_3:{g6e.24xlarge#1:2}, PP_4:{g6e.24xlarge#1:2}, PP_5:{g6e.24xlarge#2:2}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2}",10,80,NO,SUCCESS
llama3-70b,8192,2048,32,40.96,1327.58,1062.06,265.52,40.96,8.570313,0.21,8.57,4,p4de.24xlarge#0,4,"{PP_1:80.0, PP_2:80.0, PP_3:80.0, PP_4:80.0}","{PP_1:{p4de.24xlarge#0:2}, PP_2:{p4de.24xlarge#0:2}, PP_3:{p4de.24xlarge#0:2}, PP_4:{p4de.24xlarge#0:2}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2}",8,80,NO,SUCCESS
