batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
32,8.19,2042.04,8.19,1.114421,0.14,1.11,1,A100,2,2,32,YES,SUCCESS
32,9.83,2042.04,8.19,1.114421,0.14,1.11,1,A100,2,2,32,YES,SUCCESS
32,12.29,2042.04,8.19,1.114421,0.14,1.11,1,A100,2,2,32,YES,SUCCESS
32,157.30,6980.57,32.77,1.304016,0.04,1.30,1,A100,8,8,32,NO,SUCCESS
32,314.59,6980.57,32.77,1.304016,0.04,1.30,1,A100,8,8,32,NO,SUCCESS
64,8.19,2042.04,8.19,1.114421,0.14,1.11,1,A100,2,2,32,YES,SUCCESS
64,9.83,2042.04,8.19,1.114421,0.14,1.11,1,A100,2,2,32,YES,SUCCESS
64,12.29,2042.04,8.19,1.114421,0.14,1.11,1,A100,2,2,32,YES,SUCCESS
64,157.30,6980.57,32.77,1.304016,0.04,1.30,1,A100,8,8,32,NO,SUCCESS
64,314.59,6980.57,32.77,1.304016,0.04,1.30,1,A100,8,8,32,NO,SUCCESS
128,16.39,3806.57,16.39,1.195667,0.07,1.20,1,A100,4,4,32,YES,SUCCESS
128,19.66,3806.57,16.39,1.195667,0.07,1.20,1,A100,4,4,32,YES,SUCCESS
128,24.58,3806.57,16.39,1.195667,0.07,1.20,1,A100,4,4,32,YES,SUCCESS
128,157.30,6980.57,32.77,1.304016,0.04,1.30,1,A100,8,8,32,NO,SUCCESS
128,314.59,6980.57,32.77,1.304016,0.04,1.30,1,A100,8,8,32,NO,SUCCESS
256,16.39,3806.57,16.39,1.195667,0.07,1.20,1,A100,4,4,32,YES,SUCCESS
256,19.66,3806.57,16.39,1.195667,0.07,1.20,1,A100,4,4,32,YES,SUCCESS
256,24.58,3806.57,16.39,1.195667,0.07,1.20,1,A100,4,4,32,YES,SUCCESS
256,157.30,6980.57,32.77,1.304016,0.04,1.30,1,A100,8,8,32,NO,SUCCESS
256,314.59,6980.57,32.77,1.304016,0.04,1.30,1,A100,8,8,32,NO,SUCCESS
