2026-02-11 21:08:04,995 - INFO - Using HOMOGENEOUS mode (fast enumeration, no MILP)
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#0: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#1: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#2: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#3: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#4: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#5: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#6: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#7: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#8: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#9: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#10: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#11: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#12: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#13: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#14: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#15: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#16: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#17: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#18: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,008 - INFO -   Instance g5.12xlarge#19: 4×A10, 24GB, $5.67/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.24xlarge#0: 4×A10, 24GB, $8.14/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.24xlarge#1: 4×A10, 24GB, $8.14/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.24xlarge#2: 4×A10, 24GB, $8.14/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.24xlarge#3: 4×A10, 24GB, $8.14/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.24xlarge#4: 4×A10, 24GB, $8.14/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.24xlarge#5: 4×A10, 24GB, $8.14/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.24xlarge#6: 4×A10, 24GB, $8.14/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.24xlarge#7: 4×A10, 24GB, $8.14/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.24xlarge#8: 4×A10, 24GB, $8.14/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.24xlarge#9: 4×A10, 24GB, $8.14/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#0: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#1: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#2: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#3: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#4: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#5: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#6: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#7: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#8: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#9: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#10: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,009 - INFO -   Instance g5.2xlarge#11: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,010 - INFO -   Instance g5.2xlarge#12: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,010 - INFO -   Instance g5.2xlarge#13: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,010 - INFO -   Instance g5.2xlarge#14: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,010 - INFO -   Instance g5.2xlarge#15: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,010 - INFO -   Instance g5.2xlarge#16: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,010 - INFO -   Instance g5.2xlarge#17: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,010 - INFO -   Instance g5.2xlarge#18: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,010 - INFO -   Instance g5.2xlarge#19: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
2026-02-11 21:08:05,010 - INFO -   Instance g5.2xlarge#20: 1×A10, 24GB, $1.21/instance-hour (from cloud (AWS))
