model_name,max_input_length,max_output_length,batch_size,budget_tested,total_tokens_per_sec,input_tokens_per_sec,output_tokens_per_sec,cost_per_hour,dollar_per_million_token,total_runtime_hours,total_cost,pipeline_stages,device_type,pp,mem_per_gpu_gb,placement,layer_mapping,tp_per_stage,num_gpus,total_layers,is_best,status
qwen2.5-72b,8192,1024,32,31.38,2030.88,1805.23,225.65,31.38,4.292064,0.14,4.29,2,"g6.48xlarge#0,g6.48xlarge#1",2,"{PP_1:24.0, PP_2:24.0}","{PP_1:{g6.48xlarge#0:8}, PP_2:{g6.48xlarge#1:8}}","{PP_1:1-40, PP_2:41-80}","{PP_1:8, PP_2:8}",16,80,YES,SUCCESS
qwen2.5-72b,8192,1024,32,31.38,1937.07,1721.84,215.23,31.38,4.499927,0.14,4.50,4,"g6.48xlarge#0,g6.48xlarge#1",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g6.48xlarge#0:4}, PP_2:{g6.48xlarge#0:4}, PP_3:{g6.48xlarge#1:4}, PP_4:{g6.48xlarge#1:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,31.40,1937.07,1721.84,215.23,31.40,4.502795,0.14,4.50,4,"g6.24xlarge#0,g6.24xlarge#1,g6.24xlarge#2,g6.24xlarge#3",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g6.24xlarge#0:4}, PP_2:{g6.24xlarge#1:4}, PP_3:{g6.24xlarge#2:4}, PP_4:{g6.24xlarge#3:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,32.77,1979.81,1759.83,219.98,32.77,4.597796,0.14,4.60,1,p4d.24xlarge#0,1,{PP_1:40.0},{PP_1:{p4d.24xlarge#0:8}},{PP_1:1-80},{PP_1:8},8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,39.25,2118.67,1883.26,235.41,39.25,5.146051,0.13,5.15,5,"g6.24xlarge#0,g6.24xlarge#1,g6.24xlarge#2,g6.24xlarge#3,g6.24xlarge#4",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g6.24xlarge#0:4}, PP_2:{g6.24xlarge#1:4}, PP_3:{g6.24xlarge#2:4}, PP_4:{g6.24xlarge#3:4}, PP_5:{g6.24xlarge#4:4}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,32.77,1706.41,1516.81,189.60,32.77,5.334453,0.16,5.33,2,p4d.24xlarge#0,2,"{PP_1:40.0, PP_2:40.0}","{PP_1:{p4d.24xlarge#0:4}, PP_2:{p4d.24xlarge#0:4}}","{PP_1:1-40, PP_2:41-80}","{PP_1:4, PP_2:4}",8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,27.39,1393.15,1238.36,154.79,27.39,5.461246,0.20,5.46,2,g6e.48xlarge#0,2,"{PP_1:48.0, PP_2:48.0}","{PP_1:{g6e.48xlarge#0:4}, PP_2:{g6e.48xlarge#0:4}}","{PP_1:1-40, PP_2:41-80}","{PP_1:4, PP_2:4}",8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,27.40,1393.15,1238.36,154.79,27.40,5.463240,0.20,5.46,2,"g6e.24xlarge#0,g6e.24xlarge#1",2,"{PP_1:48.0, PP_2:48.0}","{PP_1:{g6e.24xlarge#0:4}, PP_2:{g6e.24xlarge#1:4}}","{PP_1:1-40, PP_2:41-80}","{PP_1:4, PP_2:4}",8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,40.96,1979.81,1759.83,219.98,40.96,5.746894,0.14,5.75,1,p4de.24xlarge#0,1,{PP_1:80.0},{PP_1:{p4de.24xlarge#0:8}},{PP_1:1-80},{PP_1:8},8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,65.54,3167.70,2815.73,351.97,65.54,5.747245,0.09,5.75,2,"p4d.24xlarge#0,p4d.24xlarge#1",2,"{PP_1:40.0, PP_2:40.0}","{PP_1:{p4d.24xlarge#0:8}, PP_2:{p4d.24xlarge#1:8}}","{PP_1:1-40, PP_2:41-80}","{PP_1:8, PP_2:8}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,27.39,1296.76,1152.67,144.08,27.39,5.867199,0.21,5.87,1,g6e.48xlarge#0,1,{PP_1:48.0},{PP_1:{g6e.48xlarge#0:8}},{PP_1:1-80},{PP_1:8},8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,62.76,2901.26,2578.90,322.36,62.76,6.008890,0.10,6.01,4,"g6.48xlarge#0,g6.48xlarge#1,g6.48xlarge#2,g6.48xlarge#3",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g6.48xlarge#0:8}, PP_2:{g6.48xlarge#1:8}, PP_3:{g6.48xlarge#2:8}, PP_4:{g6.48xlarge#3:8}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8}",32,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,47.07,2118.67,1883.26,235.41,47.07,6.171328,0.13,6.17,5,"g6.48xlarge#0,g6.48xlarge#1,g6.48xlarge#2",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g6.48xlarge#0:4}, PP_2:{g6.48xlarge#0:4}, PP_3:{g6.48xlarge#1:4}, PP_4:{g6.48xlarge#1:4}, PP_5:{g6.48xlarge#2:4}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,27.39,1227.77,1091.35,136.42,27.39,6.196857,0.23,6.20,4,g6e.48xlarge#0,4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.48xlarge#0:2}, PP_2:{g6e.48xlarge#0:2}, PP_3:{g6e.48xlarge#0:2}, PP_4:{g6e.48xlarge#0:2}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2}",8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,27.40,1227.77,1091.35,136.42,27.40,6.199120,0.23,6.20,4,"g6e.12xlarge#0,g6e.12xlarge#1,g6e.12xlarge#2,g6e.12xlarge#3",4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.12xlarge#0:2}, PP_2:{g6e.12xlarge#1:2}, PP_3:{g6e.12xlarge#2:2}, PP_4:{g6e.12xlarge#3:2}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2}",8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,27.40,1227.77,1091.35,136.42,27.40,6.199120,0.23,6.20,4,"g6e.24xlarge#0,g6e.24xlarge#1",4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.24xlarge#0:2}, PP_2:{g6e.24xlarge#0:2}, PP_3:{g6e.24xlarge#1:2}, PP_4:{g6e.24xlarge#1:2}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2}",8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,40.96,1706.41,1516.81,189.60,40.96,6.667659,0.16,6.67,2,p4de.24xlarge#0,2,"{PP_1:80.0, PP_2:80.0}","{PP_1:{p4de.24xlarge#0:4}, PP_2:{p4de.24xlarge#0:4}}","{PP_1:1-40, PP_2:41-80}","{PP_1:4, PP_2:4}",8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,78.45,3173.25,2820.67,352.58,78.45,6.867303,0.09,6.87,5,"g6.48xlarge#0,g6.48xlarge#1,g6.48xlarge#2,g6.48xlarge#3,g6.48xlarge#4",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g6.48xlarge#0:8}, PP_2:{g6.48xlarge#1:8}, PP_3:{g6.48xlarge#2:8}, PP_4:{g6.48xlarge#3:8}, PP_5:{g6.48xlarge#4:8}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8, PP_5:8}",40,80,NO,SUCCESS
