source,model_name,device_type,gpu_type,tp,pp,pipeline_stages,tp_per_stage,num_gpus,num_replicas,max_input_length,max_output_length,batch_size,total_tokens_per_sec,input_tokens_per_sec,output_tokens_per_sec,cost_per_hour,dollar_per_million_token,total_cost,mem_per_gpu_gb,budget_tested,e2e_p50_s,e2e_p90_s,e2e_p99_s,is_best,layer_mapping,num_requests,output_dir,placement,rps,sim_duration_s,source_path,status,total_input_tokens,total_layers,total_output_tokens,total_runtime_hours,tpot_p50_s,tpot_p90_s,tpot_p99_s,ttft_p50_s,ttft_p90_s,ttft_p99_s
simulator,meta-llama/Llama-2-70b-hf,a100,A100,4.0,1,,,,1.0,1024.0,512.0,,3435.880423050476,2290.5869487003174,1145.2934743501587,,,,,,128.0605290998105,178.5104710769103,180.01865634390057,,,512.0,/mnt/projects/vidur/output/a100-tp4-replicas1-in1024-out512-rps10-2026-01-28_04-20-38,,2.2369013170901537,228.88805871241075,,,524288.0,,262144.0,,0.1044104799911792,0.1059506216550118,0.1059753737932358,74.01466581950409,140.16579740607162,152.8966668867136
simulator,meta-llama/Llama-2-70b-hf,a100,A100,4.0,1,,,,1.0,3276.0,819.0,,3418.804989943326,2735.0439919546607,683.7609979886652,,,,,,371.11501717589147,550.6028717196742,563.2863724336753,,,512.0,/mnt/projects/vidur/output/a100-tp4-replicas1-in16384-out4096-rps10-2026-01-28_04-20-38,,0.8348730134171736,613.2669181680224,,,1677312.0,,419328.0,,0.1433265360326236,0.1444717995722731,0.1454281855700729,253.4639501278409,467.4155339230182,516.7998069064827
simulator,meta-llama/Llama-2-70b-hf,a100,A100,4.0,1,,,,1.0,2048.0,1024.0,,3120.8777877423418,2080.585191828228,1040.292595914114,,,,,,309.5300903621554,447.6414929215831,454.57832172719327,,,512.0,/mnt/projects/vidur/output/a100-tp4-replicas1-in2048-out1024-rps10-2026-01-28_04-20-38,,1.0159107381973769,503.9812857067426,,,1048576.0,,524288.0,,0.115435075700089,0.1172883829065896,0.1173264740574787,189.962905970958,361.1721104540298,392.5745828898843
simulator,meta-llama/Llama-2-70b-hf,a100,A100,4.0,1,,,,1.0,3276.0,819.0,,3418.804989943326,2735.0439919546607,683.7609979886652,,,,,,371.11501717589147,550.6028717196742,563.2863724336753,,,512.0,/mnt/projects/vidur/output/a100-tp4-replicas1-in4096-out1024-rps10-2026-01-28_04-20-38,,0.8348730134171736,613.2669181680224,,,1677312.0,,419328.0,,0.1433265360326236,0.1444717995722731,0.1454281855700729,253.4639501278409,467.4155339230182,516.7998069064827
simulator,meta-llama/Llama-2-70b-hf,a100,A100,4.0,1,,,,1.0,3276.0,819.0,,3418.804989943326,2735.0439919546607,683.7609979886652,,,,,,371.11501717589147,550.6028717196742,563.2863724336753,,,512.0,/mnt/projects/vidur/output/a100-tp4-replicas1-in8192-out2048-rps10-2026-01-28_04-20-38,,0.8348730134171736,613.2669181680224,,,1677312.0,,419328.0,,0.1433265360326236,0.1444717995722731,0.1454281855700729,253.4639501278409,467.4155339230182,516.7998069064827
simulator,meta-llama/Llama-2-70b-hf,a100,A100,8.0,1,,,,1.0,1024.0,512.0,,5000.085271055128,3333.3901807034185,1666.6950903517093,,,,,,80.42264162402645,108.73044965124362,109.36487021779828,,,512.0,/mnt/projects/vidur/output/a100-tp8-replicas1-in1024-out512-rps10-2026-01-28_04-20-38,,3.255263848343182,157.2837176502883,,,524288.0,,262144.0,,0.0716458649322404,0.0724693003814375,0.0724884989117704,43.47029975837335,82.1399574273236,89.77797668852405
simulator,meta-llama/Llama-2-70b-hf,a100,A100,8.0,1,,,,1.0,3276.0,819.0,,5087.155980333509,4069.724784266808,1017.431196066702,,,,,,241.48280831095207,355.0890696159586,362.7592831205672,,,512.0,/mnt/projects/vidur/output/a100-tp8-replicas1-in16384-out4096-rps10-2026-01-28_04-20-38,,1.2422847326821758,412.14383991869386,,,1677312.0,,419328.0,,0.0961807811777475,0.0967653625894973,0.0972434814333933,162.56002795380363,299.4731978416466,331.4901002310069
simulator,meta-llama/Llama-2-70b-hf,a100,A100,8.0,1,,,,1.0,2042.638671875,1019.19140625,,4574.139430167008,3051.545596001544,1522.5938341654642,,,,,,197.64338351200135,283.3418128332649,292.41307318180566,,,512.0,/mnt/projects/vidur/output/a100-tp8-replicas1-in2048-out1024-rps10-2026-01-28_03-20-01,,1.4939233443575402,342.72173464173625,,,1045831.0,,521826.0,,0.0753946957267702,0.0789029012827557,0.0804217078162809,116.40107925197648,226.3051589674249,252.22751913832136
simulator,meta-llama/Llama-2-70b-hf,a100,A100,8.0,1,,,,1.0,2048.0,1024.0,,4664.912172063507,3109.941448042338,1554.970724021169,,,,,,199.3663111412632,284.3662094242375,288.15101846812667,,,512.0,/mnt/projects/vidur/output/a100-tp8-replicas1-in2048-out1024-rps10-2026-01-28_04-20-38,,1.5185260976769228,337.16904884497524,,,1048576.0,,524288.0,,0.0770462860993435,0.0780069078410071,0.078021474127218,119.84621275019026,226.7916192513909,246.67727484170965
simulator,meta-llama/Llama-2-70b-hf,a100,A100,8.0,1,,,,1.0,2051.58984375,1023.509765625,,4631.8641192071545,3090.204088226857,1541.660030980297,,,,,,185.5006502386903,260.7627265033824,262.65976460774425,,,512.0,/mnt/projects/vidur/output/a100-tp8-replicas1-in2048-out1024-rps6.45-2026-01-28_03-00-26,,1.5062484821909752,339.9173549740276,,,1050414.0,,524037.0,,0.0760208345884183,0.0775881647430732,0.0781259328311329,106.30255646471848,203.217945803706,221.13883256851523
