data_source,data_source_type,model_name,model_architecture,precision,params_billion,tp,pp,dp,gpu_model,gpu_count_total,gpu_mem_gb,num_nodes,gpus_per_node,interconnect,cloud,region,instance_type,price_per_instance_hour_usd,runtime_stack,task_type,request_pattern,num_requests,max_num_seqs,input_len_tokens_min,input_len_tokens_max,input_len_tokens_avg,input_len_tokens_fixed,output_len_tokens_min,output_len_tokens_max,output_len_tokens_avg,output_len_tokens_fixed,tokens_per_sec_total,tokens_per_sec_per_gpu,tokens_per_sec_prefill,tokens_per_sec_decode,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,total_cost_usd,cost_per_1m_tokens_total_usd,cost_per_1m_tokens_prefill_usd,cost_per_1m_tokens_decode_usd,is_lmcache,is_continuous_batching,kv_offload_target,cuda_graphs,spec_decode,prefill_decode_ratio,batch_size,model_config_json
dynamo_swept,measured,nvidia/Llama-3.3-70B-Instruct-FP8,LlamaForCausalLM,fp8,70.555009024,8,1,1.0,H100_SXM,8.0,80.0,,,NVLink,,,,,vllm 0.10.1.1,decode,,,128.0,350.0,350.0,350.0,350.0,,,,,105.50414793003914,13.188018491254892,,105.50414793003914,,,,9.460164,,,,,,,,,,,,,,,,,"{""architectures"":[""LlamaForCausalLM""],""attention_bias"":false,""attention_dropout"":0.0,""bos_token_id"":128000,""eos_token_id"":[128001,128008,128009],""head_dim"":128,""hidden_act"":""silu"",""hidden_size"":8192,""initializer_range"":0.02,""intermediate_size"":28672,""max_position_embeddings"":131072,""mlp_bias"":false,""model_type"":""llama"",""num_attention_heads"":64,""num_hidden_layers"":80,""num_key_value_heads"":8,""pretraining_tp"":1,""rms_norm_eps"":1e-05,""rope_scaling"":{""factor"":8.0,""high_freq_factor"":4.0,""low_freq_factor"":1.0,""original_max_position_embeddings"":8192,""rope_type"":""llama3""},""rope_theta"":500000.0,""tie_word_embeddings"":false,""torch_dtype"":""bfloat16"",""transformers_version"":""4.51.3"",""use_cache"":true,""vocab_size"":128256}"
dynamo_swept,measured,nvidia/Llama-3.3-70B-Instruct-FP8,LlamaForCausalLM,fp8,70.555009024,8,1,1.0,H100_SXM,8.0,80.0,,,NVLink,,,,,vllm 0.10.1.1,decode,,,128.0,350.0,350.0,350.0,350.0,,,,,3556.1913687485658,444.5239210935707,,3556.1913687485658,,,,12.84307614893617,,,,,,,,,,,,,,,,,"{""architectures"":[""LlamaForCausalLM""],""attention_bias"":false,""attention_dropout"":0.0,""bos_token_id"":128000,""eos_token_id"":[128001,128008,128009],""head_dim"":128,""hidden_act"":""silu"",""hidden_size"":8192,""initializer_range"":0.02,""intermediate_size"":28672,""max_position_embeddings"":131072,""mlp_bias"":false,""model_type"":""llama"",""num_attention_heads"":64,""num_hidden_layers"":80,""num_key_value_heads"":8,""pretraining_tp"":1,""rms_norm_eps"":1e-05,""rope_scaling"":{""factor"":8.0,""high_freq_factor"":4.0,""low_freq_factor"":1.0,""original_max_position_embeddings"":8192,""rope_type"":""llama3""},""rope_theta"":500000.0,""tie_word_embeddings"":false,""torch_dtype"":""bfloat16"",""transformers_version"":""4.51.3"",""use_cache"":true,""vocab_size"":128256}"
dynamo_swept,measured,nvidia/Llama-3.3-70B-Instruct-FP8,LlamaForCausalLM,fp8,70.555009024,8,1,1.0,H100_SXM,8.0,80.0,,,NVLink,,,,,vllm 0.10.1.1,decode,,,128.0,350.0,350.0,350.0,350.0,,,,,5790.076397295656,723.759549661957,,5790.076397295656,,,,15.405575397849464,,,,,,,,,,,,,,,,,"{""architectures"":[""LlamaForCausalLM""],""attention_bias"":false,""attention_dropout"":0.0,""bos_token_id"":128000,""eos_token_id"":[128001,128008,128009],""head_dim"":128,""hidden_act"":""silu"",""hidden_size"":8192,""initializer_range"":0.02,""intermediate_size"":28672,""max_position_embeddings"":131072,""mlp_bias"":false,""model_type"":""llama"",""num_attention_heads"":64,""num_hidden_layers"":80,""num_key_value_heads"":8,""pretraining_tp"":1,""rms_norm_eps"":1e-05,""rope_scaling"":{""factor"":8.0,""high_freq_factor"":4.0,""low_freq_factor"":1.0,""original_max_position_embeddings"":8192,""rope_type"":""llama3""},""rope_theta"":500000.0,""tie_word_embeddings"":false,""torch_dtype"":""bfloat16"",""transformers_version"":""4.51.3"",""use_cache"":true,""vocab_size"":128256}"
dynamo_swept,measured,nvidia/Llama-3.3-70B-Instruct-FP8,LlamaForCausalLM,fp8,70.555009024,8,1,1.0,H100_SXM,8.0,80.0,,,NVLink,,,,,vllm 0.10.1.1,decode,,,128.0,350.0,350.0,350.0,350.0,,,,,6669.739859048685,833.7174823810856,,6669.739859048685,,,,19.98199382733813,,,,,,,,,,,,,,,,,"{""architectures"":[""LlamaForCausalLM""],""attention_bias"":false,""attention_dropout"":0.0,""bos_token_id"":128000,""eos_token_id"":[128001,128008,128009],""head_dim"":128,""hidden_act"":""silu"",""hidden_size"":8192,""initializer_range"":0.02,""intermediate_size"":28672,""max_position_embeddings"":131072,""mlp_bias"":false,""model_type"":""llama"",""num_attention_heads"":64,""num_hidden_layers"":80,""num_key_value_heads"":8,""pretraining_tp"":1,""rms_norm_eps"":1e-05,""rope_scaling"":{""factor"":8.0,""high_freq_factor"":4.0,""low_freq_factor"":1.0,""original_max_position_embeddings"":8192,""rope_type"":""llama3""},""rope_theta"":500000.0,""tie_word_embeddings"":false,""torch_dtype"":""bfloat16"",""transformers_version"":""4.51.3"",""use_cache"":true,""vocab_size"":128256}"
dynamo_swept,measured,nvidia/Llama-3.3-70B-Instruct-FP8,LlamaForCausalLM,fp8,70.555009024,8,1,1.0,H100_SXM,8.0,80.0,,,NVLink,,,,,vllm 0.10.1.1,decode,,,128.0,350.0,350.0,350.0,350.0,,,,,8008.802329063936,1001.100291132992,,8008.802329063936,,,,22.028450102702703,,,,,,,,,,,,,,,,,"{""architectures"":[""LlamaForCausalLM""],""attention_bias"":false,""attention_dropout"":0.0,""bos_token_id"":128000,""eos_token_id"":[128001,128008,128009],""head_dim"":128,""hidden_act"":""silu"",""hidden_size"":8192,""initializer_range"":0.02,""intermediate_size"":28672,""max_position_embeddings"":131072,""mlp_bias"":false,""model_type"":""llama"",""num_attention_heads"":64,""num_hidden_layers"":80,""num_key_value_heads"":8,""pretraining_tp"":1,""rms_norm_eps"":1e-05,""rope_scaling"":{""factor"":8.0,""high_freq_factor"":4.0,""low_freq_factor"":1.0,""original_max_position_embeddings"":8192,""rope_type"":""llama3""},""rope_theta"":500000.0,""tie_word_embeddings"":false,""torch_dtype"":""bfloat16"",""transformers_version"":""4.51.3"",""use_cache"":true,""vocab_size"":128256}"
dynamo_swept,measured,nvidia/Llama-3.3-70B-Instruct-FP8,LlamaForCausalLM,fp8,70.555009024,8,1,1.0,H100_SXM,8.0,80.0,,,NVLink,,,,,vllm 0.10.1.1,decode,,,128.0,350.0,350.0,350.0,350.0,,,,,9608.249873982479,1201.0312342478098,,9608.249873982479,,,,22.74960651082251,,,,,,,,,,,,,,,,,"{""architectures"":[""LlamaForCausalLM""],""attention_bias"":false,""attention_dropout"":0.0,""bos_token_id"":128000,""eos_token_id"":[128001,128008,128009],""head_dim"":128,""hidden_act"":""silu"",""hidden_size"":8192,""initializer_range"":0.02,""intermediate_size"":28672,""max_position_embeddings"":131072,""mlp_bias"":false,""model_type"":""llama"",""num_attention_heads"":64,""num_hidden_layers"":80,""num_key_value_heads"":8,""pretraining_tp"":1,""rms_norm_eps"":1e-05,""rope_scaling"":{""factor"":8.0,""high_freq_factor"":4.0,""low_freq_factor"":1.0,""original_max_position_embeddings"":8192,""rope_type"":""llama3""},""rope_theta"":500000.0,""tie_word_embeddings"":false,""torch_dtype"":""bfloat16"",""transformers_version"":""4.51.3"",""use_cache"":true,""vocab_size"":128256}"
dynamo_swept,measured,nvidia/Llama-3.3-70B-Instruct-FP8,LlamaForCausalLM,fp8,70.555009024,8,1,1.0,H100_SXM,8.0,80.0,,,NVLink,,,,,vllm 0.10.1.1,decode,,,128.0,350.0,350.0,350.0,350.0,,,,,9165.555452297096,1145.694431537137,,9165.555452297096,,,,28.651535451263538,,,,,,,,,,,,,,,,,"{""architectures"":[""LlamaForCausalLM""],""attention_bias"":false,""attention_dropout"":0.0,""bos_token_id"":128000,""eos_token_id"":[128001,128008,128009],""head_dim"":128,""hidden_act"":""silu"",""hidden_size"":8192,""initializer_range"":0.02,""intermediate_size"":28672,""max_position_embeddings"":131072,""mlp_bias"":false,""model_type"":""llama"",""num_attention_heads"":64,""num_hidden_layers"":80,""num_key_value_heads"":8,""pretraining_tp"":1,""rms_norm_eps"":1e-05,""rope_scaling"":{""factor"":8.0,""high_freq_factor"":4.0,""low_freq_factor"":1.0,""original_max_position_embeddings"":8192,""rope_type"":""llama3""},""rope_theta"":500000.0,""tie_word_embeddings"":false,""torch_dtype"":""bfloat16"",""transformers_version"":""4.51.3"",""use_cache"":true,""vocab_size"":128256}"
dynamo_swept,measured,nvidia/Llama-3.3-70B-Instruct-FP8,LlamaForCausalLM,fp8,70.555009024,8,1,1.0,H100_SXM,8.0,80.0,,,NVLink,,,,,vllm 0.10.1.1,decode,,,128.0,350.0,350.0,350.0,350.0,,,,,9156.255752314099,1144.5319690392623,,9156.255752314099,,,,33.564557055727555,,,,,,,,,,,,,,,,,"{""architectures"":[""LlamaForCausalLM""],""attention_bias"":false,""attention_dropout"":0.0,""bos_token_id"":128000,""eos_token_id"":[128001,128008,128009],""head_dim"":128,""hidden_act"":""silu"",""hidden_size"":8192,""initializer_range"":0.02,""intermediate_size"":28672,""max_position_embeddings"":131072,""mlp_bias"":false,""model_type"":""llama"",""num_attention_heads"":64,""num_hidden_layers"":80,""num_key_value_heads"":8,""pretraining_tp"":1,""rms_norm_eps"":1e-05,""rope_scaling"":{""factor"":8.0,""high_freq_factor"":4.0,""low_freq_factor"":1.0,""original_max_position_embeddings"":8192,""rope_type"":""llama3""},""rope_theta"":500000.0,""tie_word_embeddings"":false,""torch_dtype"":""bfloat16"",""transformers_version"":""4.51.3"",""use_cache"":true,""vocab_size"":128256}"
dynamo_swept,measured,nvidia/Llama-3.3-70B-Instruct-FP8,LlamaForCausalLM,fp8,70.555009024,8,1,1.0,H100_SXM,8.0,80.0,,,NVLink,,,,,vllm 0.10.1.1,decode,,,128.0,350.0,350.0,350.0,350.0,,,,,10030.883023638367,1253.860377954796,,10030.883023638367,,,,34.853465460704605,,,,,,,,,,,,,,,,,"{""architectures"":[""LlamaForCausalLM""],""attention_bias"":false,""attention_dropout"":0.0,""bos_token_id"":128000,""eos_token_id"":[128001,128008,128009],""head_dim"":128,""hidden_act"":""silu"",""hidden_size"":8192,""initializer_range"":0.02,""intermediate_size"":28672,""max_position_embeddings"":131072,""mlp_bias"":false,""model_type"":""llama"",""num_attention_heads"":64,""num_hidden_layers"":80,""num_key_value_heads"":8,""pretraining_tp"":1,""rms_norm_eps"":1e-05,""rope_scaling"":{""factor"":8.0,""high_freq_factor"":4.0,""low_freq_factor"":1.0,""original_max_position_embeddings"":8192,""rope_type"":""llama3""},""rope_theta"":500000.0,""tie_word_embeddings"":false,""torch_dtype"":""bfloat16"",""transformers_version"":""4.51.3"",""use_cache"":true,""vocab_size"":128256}"
dynamo_swept,measured,nvidia/Llama-3.3-70B-Instruct-FP8,LlamaForCausalLM,fp8,70.555009024,8,1,1.0,H100_SXM,8.0,80.0,,,NVLink,,,,,vllm 0.10.1.1,decode,,,128.0,16671.0,16671.0,16671.0,16671.0,,,,,83.6560720748247,10.457009009353088,,83.6560720748247,,,,10.568898,,,,,,,,,,,,,,,,,"{""architectures"":[""LlamaForCausalLM""],""attention_bias"":false,""attention_dropout"":0.0,""bos_token_id"":128000,""eos_token_id"":[128001,128008,128009],""head_dim"":128,""hidden_act"":""silu"",""hidden_size"":8192,""initializer_range"":0.02,""intermediate_size"":28672,""max_position_embeddings"":131072,""mlp_bias"":false,""model_type"":""llama"",""num_attention_heads"":64,""num_hidden_layers"":80,""num_key_value_heads"":8,""pretraining_tp"":1,""rms_norm_eps"":1e-05,""rope_scaling"":{""factor"":8.0,""high_freq_factor"":4.0,""low_freq_factor"":1.0,""original_max_position_embeddings"":8192,""rope_type"":""llama3""},""rope_theta"":500000.0,""tie_word_embeddings"":false,""torch_dtype"":""bfloat16"",""transformers_version"":""4.51.3"",""use_cache"":true,""vocab_size"":128256}"
