source_path,model_name,max_input_length,max_output_length,batch_size,budget_tested,total_tokens_per_sec,input_tokens_per_sec,output_tokens_per_sec,cost_per_hour,dollar_per_million_token,total_runtime_hours,total_cost,pipeline_stages,device_type,pp,mem_per_gpu_gb,placement,layer_mapping,tp_per_stage,num_gpus,total_layers,is_best,status
large-decode/method_enumeration-wrk_decode-in1024-out1024-bs32_32-20260124_163326/solution_summary.csv,llama3-70b-decode,1024,1024,32,14.76,81.44,0.00,81.44,14.76,50.345054,3.41,50.35,5,"g5.12xlarge#0,g5.12xlarge#1,g6e.4xlarge#1",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}","{PP_1:{g5.12xlarge#1:2}, PP_2:{g5.12xlarge#0:2}, PP_3:{g5.12xlarge#0:2}, PP_4:{g5.12xlarge#1:2}, PP_5:{g6e.4xlarge#1:1}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9,80,YES,SUCCESS
large-decode/method_enumeration-wrk_decode-in1024-out1024-bs32_32-20260124_163326/solution_summary.csv,llama3-70b-decode,1024,1024,32,17.71,81.44,0.00,81.44,17.12,58.394805,3.41,58.39,5,"g6e.24xlarge#0,g6e.4xlarge#3",5,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}","{PP_1:{g6e.4xlarge#3:1}, PP_2:{g6e.24xlarge#0:1}, PP_3:{g6e.24xlarge#0:1}, PP_4:{g6e.24xlarge#0:1}, PP_5:{g6e.24xlarge#0:1}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:1, PP_2:1, PP_3:1, PP_4:1, PP_5:1}",5,80,NO,SUCCESS
large-decode/method_enumeration-wrk_decode-in1024-out1024-bs32_32-20260124_163326/solution_summary.csv,llama3-70b-decode,1024,1024,32,393.22,81.44,0.00,81.44,17.23,58.770005,3.41,58.77,5,"g5.12xlarge#1,g5.24xlarge#2,g6e.4xlarge#0",5,"{PP_1:24.0, PP_2:24.0, PP_3:48.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g5.12xlarge#1:2}, PP_2:{g5.12xlarge#1:2}, PP_3:{g6e.4xlarge#0:1}, PP_4:{g5.24xlarge#2:2}, PP_5:{g5.24xlarge#2:2}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:1, PP_4:2, PP_5:2}",9,80,NO,SUCCESS
large-decode/method_enumeration-wrk_decode-in1024-out1024-bs32_32-20260124_163326/solution_summary.csv,llama3-70b-decode,1024,1024,32,196.61,81.44,0.00,81.44,17.23,58.770005,3.41,58.77,5,"g5.12xlarge#1,g5.24xlarge#0,g6e.4xlarge#1",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}","{PP_1:{g5.12xlarge#1:2}, PP_2:{g5.12xlarge#1:2}, PP_3:{g5.24xlarge#0:2}, PP_4:{g5.24xlarge#0:2}, PP_5:{g6e.4xlarge#1:1}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9,80,NO,SUCCESS
large-decode/method_enumeration-wrk_decode-in1024-out1024-bs32_32-20260124_163326/solution_summary.csv,llama3-70b-decode,1024,1024,32,22.14,81.44,0.00,81.44,17.23,58.770005,3.41,58.77,5,"g5.12xlarge#0,g5.24xlarge#2,g6e.4xlarge#1",5,"{PP_1:24.0, PP_2:24.0, PP_3:48.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g5.12xlarge#0:2}, PP_2:{g5.12xlarge#0:2}, PP_3:{g6e.4xlarge#1:1}, PP_4:{g5.24xlarge#2:2}, PP_5:{g5.24xlarge#2:2}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:1, PP_4:2, PP_5:2}",9,80,NO,SUCCESS
large-decode/method_enumeration-wrk_decode-in1024-out1024-bs64_64-20260124_163326/solution_summary.csv,llama3-70b-decode,1024,1024,64,17.71,182.16,0.00,182.16,14.76,22.508238,1.52,22.51,5,"g5.12xlarge#2,g5.12xlarge#3,g6e.4xlarge#1",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}","{PP_1:{g5.12xlarge#3:2}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#2:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g6e.4xlarge#1:1}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9,80,YES,SUCCESS
large-decode/method_enumeration-wrk_decode-in1024-out1024-bs64_64-20260124_163326/solution_summary.csv,llama3-70b-decode,1024,1024,64,22.14,182.16,0.00,182.16,14.76,22.508238,1.52,22.51,5,"g5.12xlarge#2,g5.12xlarge#3,g6e.4xlarge#1",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}","{PP_1:{g5.12xlarge#3:2}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#2:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g6e.4xlarge#1:1}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9,80,YES,SUCCESS
large-decode/method_enumeration-wrk_decode-in1024-out1024-bs64_64-20260124_163326/solution_summary.csv,llama3-70b-decode,1024,1024,64,196.61,182.16,0.00,182.16,14.76,22.508238,1.52,22.51,5,"g5.12xlarge#2,g5.12xlarge#3,g6e.4xlarge#1",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}","{PP_1:{g5.12xlarge#3:2}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#2:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g6e.4xlarge#1:1}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9,80,YES,SUCCESS
large-decode/method_enumeration-wrk_decode-in1024-out1024-bs64_64-20260124_163326/solution_summary.csv,llama3-70b-decode,1024,1024,64,393.22,182.16,0.00,182.16,14.76,22.508238,1.52,22.51,5,"g5.12xlarge#2,g5.12xlarge#3,g6e.4xlarge#1",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}","{PP_1:{g5.12xlarge#3:2}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#2:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g6e.4xlarge#1:1}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9,80,YES,SUCCESS
large-decode/method_enumeration-wrk_decode-in1024-out1024-bs64_64-20260124_163326/solution_summary.csv,llama3-70b-decode,1024,1024,64,14.76,182.16,0.00,182.16,14.76,22.508238,1.52,22.51,5,"g5.12xlarge#2,g5.12xlarge#3,g6e.4xlarge#3",5,"{PP_1:48.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g6e.4xlarge#3:1}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#3:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g5.12xlarge#2:2}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:1, PP_2:2, PP_3:2, PP_4:2, PP_5:2}",9,80,NO,SUCCESS
